listing_id,neighbourhood,zipcode,price
7858096,Gramercy Park,10010,87
7859630,Bedford-Stuyvesant,11221,40
7859723,Chelsea,10011,120
7860155,Upper East Side,10065,99
7862762,South Street Seaport,10038,150
7867890,Upper West Side,10025,140
7869876,Port Morris,10454,90
7870442,Upper West Side,10025,96
7871985,Astoria,11103,58
7872172,Upper West Side,10025,65
7872617,Washington Heights,10033,225
7873655,Williamsburg,11249,60
7881928,Upper West Side,10025,137
7883833,Lower East Side,10002,135
7884731,Washington Heights,10033,43
7884922,Chelsea,10001,159
7886635,Williamsburg,11249,60
7891403,Fort Greene,11205,285
7894025,Murray Hill,10016,94
7897229,Upper West Side,10023,180
7897312,Upper East Side,10128,600
7899965,Williamsburg,11211,210
7900119,Williamsburg,11206,80
7900437,Times Square/Theatre District,10036,100
7900722,Williamsburg,11211,175
7902556,Financial District,10005,85
7905098,St. George,10301,56
7911437,Middle Village,11378,60
7911917,Alphabet City,10009,140
7911992,Chelsea,10011,267
7912908,Crown Heights,11216,75
7913704,Hamilton Heights,10031,42
7915596,Bushwick,11206,74
7915831,Flatbush,11218,1100
7916375,Fort Greene,11205,125
7916802,Hell's Kitchen,10019,120
7918355,Alphabet City,10009,148
7919303,Bushwick,11237,39
7920963,Harlem,10027,60
7922002,Lower East Side,10002,100
7930082,Longwood,10455,109
7932177,Bedford-Stuyvesant,11206,35
7933773,Lefferts Garden,11225,130
7937398,Bedford-Stuyvesant,11233,72
7938424,Carroll Gardens,11231,110
7938492,Upper East Side,10021,118
7956593,Carroll Gardens,11231,140
7965847,,11221,48
7967524,West Farms,10460,55
7967829,Bushwick,11206,70
7967922,Ridgewood,,52
7967942,Meatpacking District,10014,385
7968259,Hell's Kitchen,10019,235
7969111,Union Square,10001,135
7972210,Bushwick,11237,100
7973933,Washington Heights,10032,60
7975360,Hamilton Heights,10031,180
7979237,Prospect Heights,11238,60
7983640,Williamsburg,11249,191
7984555,Carroll Gardens,11201,150
7985333,Chelsea,10001,400
7988259,Carroll Gardens,11231,65
7988411,Greenwich Village,10012,75
7995078,Hamilton Heights,10031,65
7995140,Williamsburg,11211,170
8000640,Clinton Hill,11205,150
8000657,Crown Heights,11216,90
8001720,Harlem,10026,200
8001790,Bensonhurst,11204,99
8002080,Bensonhurst,11214,65
8006119,New Dorp Beach,10306,17
8008601,Chelsea,10011,90
8009332,Sheepshead Bay,11229,33
8010033,Washington Heights,10032,110
8010446,Bushwick,11221,100
8012793,Times Square/Theatre District,10036,85
8012976,Financial District,10038,120
8013498,Hamilton Heights,10031,77
8013947,Midtown,10016,185
8014087,Chelsea,10011,100
8014298,Crown Heights,11213,50
8024051,Prospect Heights,11238,150
8025808,Lower East Side,10002,300
8034689,Hell's Kitchen,10036,182
8036849,Financial District,10004,60
8043824,Williamsburg,11211,149
8045639,Bayside,11427,85
8047711,Greenpoint,11222,55
8049964,Highbridge,10452,39
8052046,Bushwick,11206,54
8052159,Alphabet City,10009,110
8052243,Williamsburg,11211,250
8053664,Bushwick,11237,40
8054523,Williamsburg,11249,300
8055598,Washington Heights,10033,147
8063109,Bedford-Stuyvesant,11221,132
8065272,,10014,169
8068089,Lower East Side,10002,80
8068585,Ridgewood,11378,80
8069316,Bushwick,11221,85
8069765,Bushwick,11237,75
8071687,Hudson Square,10014,350
8075854,Midtown East,10022,160
8077721,Kips Bay,10016,250
8081193,Astoria,11101,190
8085549,Hell's Kitchen,10019,180
8086028,Williamsburg,11222,140
8087274,Bedford-Stuyvesant,11221,65
8089962,Upper West Side,10025,90
8090999,Long Island City,11101,115
8097567,Prospect Heights,11238,85
8099201,Washington Heights,10032,45
8100914,Upper West Side,10025,168
8101762,Columbia Street Waterfront,11231,125
8101848,Fort Greene,11217,125
8103766,Chinatown,10002,130
8105926,Upper West Side,10025,100
8106774,Harlem,10027,165
8110973,East Village,10009,225
8117209,Astoria,11101,38
8119018,Upper East Side,10028,110
8126091,Williamsburg,11206,50
8126282,West Village,10014,210
8128239,,11211,75
8129389,Flushing,11358,99
8130341,Midtown East,10022,130
8135144,Hell's Kitchen,10036,245
8135887,Ridgewood,11385,52
8144049,Harlem,10027,62
8150998,Hell's Kitchen,10019,550
8151183,Bushwick,11237,110
8151782,Lefferts Garden,11225,110
8153005,Alphabet City,10009,200
8163625,Hell's Kitchen,10019,190
8166218,Chelsea,10011,220
8167182,Harlem,10026,150
8167884,Greenpoint,11222,165
8170276,Upper East Side,10128,100
8172995,East Harlem,10035,150
8173226,Chinatown,10002,60
8174397,Roosevelt Island,10044,45
8184502,Financial District,10038,120
8185787,,11221,70
8186068,Williamsburg,11211,80
8188644,Alphabet City,10009,95
8189121,Carroll Gardens,11201,115
8190190,Lower East Side,10002,100
8190219,Prospect Heights,11238,99
8191699,Upper East Side,10028,140
8191897,Williamsburg,11211,70
8192768,Harlem,10027,120
8193000,Midtown East,10017,150
8193608,Upper East Side,10075,150
8194369,Bedford-Stuyvesant,11216,49
8194497,Fort Greene,11217,110
8194650,Hamilton Heights,10031,149
8204305,Upper West Side,10023,92
8206060,Bedford-Stuyvesant,11206,325
8210002,Williamsburg,11211,125
8210379,Prospect Heights,11238,60
8210423,Chelsea,10001,100
8211314,Bushwick,11221,45
8212272,Williamsburg,11249,69
8213444,Astoria,11103,50
8219648,Washington Heights,10032,70
8221965,Hell's Kitchen,10018,190
8235198,Flatiron District,10003,240
8235820,Williamsburg,11211,77
8237244,East Village,10003,215
8238926,Alphabet City,10009,74
8239650,The Bronx,10465,300
8249156,Crown Heights,11233,52
8250457,West Village,10014,194
8250925,Alphabet City,10009,89
8251228,Crown Heights,11233,39
8253376,Emerson Hill,10301,429
8253461,Crown Heights,11225,50
8254405,Hamilton Heights,10031,42
8255329,Bushwick,11237,50
8255964,Crown Heights,11238,150
8256930,Park Slope,11215,200
8257211,,10460,40
8257567,Dyker Heights,11228,204
8257903,Kips Bay,10016,135
8257999,Upper East Side,10128,135
8265482,West Farms,10460,79
8266641,Bedford-Stuyvesant,11216,139
8266871,Bedford-Stuyvesant,11216,40
8267425,Ridgewood,11385,170
8268716,Park Slope,11215,250
8268849,Soho,10013,199
8269241,Crown Heights,11233,49
8269318,Crown Heights,11233,49
8274605,Astoria,11106,80
8275455,Washington Heights,10040,85
